alpha2 	alpha3 	nameEng 	countryName 	countryFlag 	speakers (million)
jv 	jav 	Javanese basa Jawa 	Indonesia 	🇮🇩 	82
	arz 	Egyptian Arabic 	Egypt 	🇪🇬 	78
	pes 	Persian Iranian Fārsi 	Iran 	🇮🇷 	62
	bho 	Bhojpuri 	India 	🇮🇳 	50
om 	orm 	Oromo 	Ethiopia 	🇪🇹 	46
ln 	lin 	Lingala 	Democratic Republic of the Congo 	🇨🇩 	45
ha 	hau 	Hausa 	Nigeria 	🇳🇬 	44
	awa 	Awadhi 	India 	🇮🇳 	38
	uzn 	Northern Uzbek 	Uzbekistan 	🇺🇿 	32
su 	sun 	Sundanese 	Indonesia 	🇮🇩 	32
	ary 	Moroccan Arabic 	Morocco 	🇲🇦 	30
om 	gaz 	Oromo West Central 	Ethiopia 	🇪🇹 	30
ig 	ibo 	Igbo 	Nigeria 	🇳🇬 	27
mg 	mlg 	Malagasy 	Madagascar 	🇲🇬 	25
sd 	snd 	Sindhi 	Pakistan 	🇵🇰 	25
	azb 	South Azerbaijani 	Azerbaijan 	🇮🇷 	23
	ceb 	Cebuano 	Philippines 	🇵🇭 	21
	apc 	Levantine Arabic 	Syria 	🇸🇾 	21
	mai 	Maithili 	India 	🇮🇳 	20
	zsm 	Standard Malay 	Malaysia 	🇲🇾 	20
yo 	yor 	Yoruba 	Nigeria 	🇳🇬 	20
xh 	xho 	Xhosa 	South Africa 	🇿🇦 	19
so 	som 	Somali 	Somalia 	🇸🇴 	16
bm 	bam 	Bambara 	Mali 	🇲🇱 	14
ht 	hat 	Haitian 	Haiti 	🇭🇹 	12
rw 	kin 	Kinyarwanda 	Rwanda 	🇷🇼 	12
rn 	run 	Rundi 	Burundi 	🇧🇮 	12
ak 	aka 	Akan 	Ghana 	🇬🇭 	11
ny 	nya 	Nyanja 	Malawi 	🇲🇼 	10
ti 	tir 	Tigrinya 	Eritrea 	🇪🇷 	9
tw 	twi 	Twi 	Ghana 	🇬🇭 	9
tn 	tsn 	Tswana 	Botswana 	🇧🇼 	8.2
tg 	tgk 	Tajik 	Tajikistan 	🇹🇯 	8
lg 	lug 	Ganda 	Uganda 	🇺🇬 	7
ks 	kas 	Kashmiri 	India 	🇮🇳 	7
ki 	kik 	Kikuyu 	Kenya 	🇰🇪 	7
kg 	kon 	Kongo 	Republic of the Congo 	🇨🇬 	7
sn 	sna 	Shona 	Zimbabwe 	🇿🇼 	7
tk 	tuk 	Turkmen 	Turkmenistan 	🇹🇲 	7
ku 	kur 	Kurdish Central 	Iraq 	🇮🇶 	6.7
gn 	grn 	Guarani Latin 	Paraguay 	🇵🇾 	6.5
st 	sot 	Sotho Southern 	Lesotho 	🇱🇸 	6
tt 	tat 	Tatar 	Russia 	🇷🇺 	5.2
wo 	wol 	Wolof 	Senegal 	🇸🇳 	5
ee 	ewe 	Ewe 	Togo 	🇹🇬 	5
ts 	tso 	Tsonga 	South Africa 	🇿🇦 	3.5
ss 	ssw 	Swati 	Eswatini 	🇸🇿 	2.3
